Date,YouTube,Instagram,Twitter,Campaign_Manager,Region,Niche,Engagement_Score
2011-01-01,119.68396949346183,188.66006911546023,0.9406377066826999,Kayla Banks,Wilkersonmouth,Tech,165.83877891952247
2011-01-02,74.72323651077937,65.79851853810288,5.433542466952717,Steven Rodriguez,New Matthewborough,Tech,156.04566262417566
2011-01-03,69.11417921854768,88.98367987413651,15.081997901221607,David Levy,New Joel,Tech,158.04051763668002
2011-01-04,69.11511471659003,159.52179399101786,11.408569556468859,Barry Barrera,South Sylviastad,Beauty,192.20649442811802
2011-01-05,232.48572061153254,113.74467273094255,3.0627801923998264,Tracey Stanley,West Latoya,Gaming,175.231667690315
2011-01-06,143.3353115482111,113.93534782064508,17.00390092564694,Mr. David Kramer,Wiseville,Fashion,179.6151722886012
2011-01-07,56.55390008704495,20.13463097098487,12.379938599990416,Kimberly Price,North Mackenzieburgh,Tech,144.553617437896
2011-01-08,123.49072367156066,85.73393591650661,3.9244258992478422,Stephanie Kent,North Patriciafort,Gaming,159.52693075131626
2011-01-09,99.94801320323235,61.43940916012917,10.534299461299966,Ronnie Blair,Davidburgh,Fitness,142.41911110142166
2011-01-10,10.79574717452927,199.87367333791192,65.26167635296063,Christopher Brooks,Robinport,Beauty,194.6884436967888
2011-01-11,33.56211413438531,68.58746342013896,10.78818559604441,Tiffany Young,West Karenview,Tech,160.64310485712662
2011-01-12,105.30828186740817,178.05434161083406,37.54822852552793,David Medina,Sydneymouth,Gaming,181.25569639705543
2011-01-13,218.25884337417642,138.48440965769072,28.40613858135562,Mrs. Dorothy Miller,Gallowaychester,Gaming,176.50106253062597
2011-01-14,69.5926092479573,74.77411774649718,16.715573310587075,Joshua Hunt,Cartermouth,Tech,166.81425429552138
2011-01-15,52.90137195271518,113.2715318910835,8.194668299927958,Drew Salazar,Owenshaven,Gaming,169.4764326651999
2011-01-16,90.70037707360828,169.70181719034682,13.814181360921586,Samuel Lee,Baileystad,Gaming,175.32466359613764
2011-01-17,50.26422403590488,177.83997662587325,26.90252751676485,Stephanie Small,Port Wesleytown,Fashion,187.11926495555932
2011-01-18,65.88706905695942,40.47483625116759,12.958271397990723,Kathleen Levy,Robertsmouth,Beauty,189.89722368187012
2011-01-19,82.46512394701323,74.51889682955223,7.258189144481579,Yolanda Bell,New Heatherburgh,Fashion,169.70937147366286
2011-01-20,32.00686524219417,73.69240424057861,3.71465475001356,John Ferrell,Kennedyview,Beauty,174.6437872010756
2011-01-21,148.50300471065697,17.98851125442949,63.54969707142529,Tiffany Randolph,East Stephanie,Beauty,162.69311947923526
2011-01-22,26.759072313952004,123.66517437186035,17.41132610276369,Diana Gonzales,Williamsport,Fashion,173.98668087033496
2011-01-23,23.63967219173367,172.41581006851573,29.441547960615814,Keith Hill,Port Kristina,Tech,167.24963910648805
2011-01-24,96.69752089440674,82.49913368684838,20.22448520495966,Ashley Lewis,South Josemouth,Gaming,172.53285237547337
2011-01-25,140.66769039895252,150.60682954699362,61.804822894035325,Nicole Becker,Schultzchester,Fitness,168.10667775990498
2011-01-26,94.89177871785353,129.2630785841406,23.75158050777528,William Cruz,Guerrafurt,Fashion,187.81353689866913
2011-01-27,76.08895885423004,81.37325974367016,19.662909733747814,Christopher Stephens,North Jamesshire,Fashion,175.32846907679482
2011-01-28,65.36907174917371,36.801361903536446,77.54883418862939,Bruce Castro,Port Kimberly,Tech,151.921322657477
2011-01-29,56.99549153433252,144.77153202743378,38.15573112863359,Barbara White,Randallborough,Gaming,173.0199478920603
2011-01-30,171.88996502597246,172.3673820988357,3.548304099143453,Erin Wright,North Joshua,Fashion,192.6091815891553
2011-01-31,106.05219696949611,140.31235355628345,5.869662368601364,Makayla Oliver,West Fred,Fitness,170.48972772279723
2011-02-01,60.86594068293271,13.396911966615432,46.411203030301806,David Fisher,Millerview,Gaming,161.0405005128036
2011-02-02,46.83032646557786,51.08424993428834,54.20948051042159,Wayne Kaiser,Port Raymond,Fashion,165.0464492654646
2011-02-03,129.3809478353937,23.201197127871062,23.63632057799851,Amanda Allison,Port Sarafort,Fashion,163.572398114104
2011-02-04,169.17208367011088,118.37335891948308,24.253726155152147,Robert Mccann,Feliciaview,Beauty,189.5117305208649
2011-02-05,159.06048909014444,153.73075897967834,29.984705737166824,Philip Austin,Loriland,Beauty,199.9512081590311
2011-02-06,40.05235241056735,31.010045543045294,17.34722298081671,Michelle Guerrero,West Denisemouth,Fashion,177.96399139097434
2011-02-07,64.92489006438122,169.2841859127432,34.201702132806695,Colleen Beasley,West Josephside,Tech,174.391380757037
2011-02-08,56.071748376004926,115.54670589514181,3.444864552558787,James Bradford,Trevortown,Beauty,186.1781136964302
2011-02-09,71.91440578929942,141.09411230692774,97.54138349421584,Nicole Perez,Velasquezhaven,Fashion,192.7664322207499
2011-02-10,147.55442616816282,194.56635123564277,41.60741544426138,Deborah Suarez,Derekmouth,Gaming,183.82527141299468
2011-02-11,205.11312286036053,25.899387767062493,29.92292532000435,Amy Watkins,East Vincentton,Fitness,157.09551633145085
2011-02-12,108.92435701542493,181.23256436577995,11.408049474670328,James Fritz,Hillborough,Beauty,194.69504150874312
2011-02-13,48.24223115461086,33.95951223760777,5.264745589183728,Steven Huffman,Anthonystad,Fashion,173.16372228937269
2011-02-14,81.0420982444452,84.66217326096962,15.795592232068461,Sierra Gould,Weekstown,Beauty,183.11493742845514
2011-02-15,230.62697675367923,171.77335230291172,32.50373760251741,Linda Curry,Brandystad,Gaming,184.4509555661193
2011-02-16,89.07943007769265,182.18830498019497,30.12987627368507,Francisco Powers,Phillipsfurt,Tech,178.87028055305717
2011-02-17,65.48423512877886,106.21061797357761,14.46914483430784,Richard Welch,Riveraside,Fashion,193.5525580240939
2011-02-18,69.94263059006393,122.87988127233078,28.502126869754925,Kevin Henderson,Debbiefort,Gaming,179.01726961992574
2011-02-19,108.5756682024006,144.54799357372588,50.41968811347481,Adam Willis,Perkinsbury,Fitness,170.51162546230375
